codigo_provincia,codigo_comuna,comuna
071,07108,Río Claro
071,07109,San Clemente
071,07110,San Rafael
072,07201,Cauquenes
072,07202,Chanco
072,07203,Pelluhue
073,07301,Curicó
073,07302,Hualañé
073,07303,Licantén
073,07304,Molina
073,07305,Rauco
073,07306,Romeral
073,07307,Sagrada Familia
073,07308,Teno
073,07309,Vichuquén
074,07401,Linares
074,07402,Colbún
074,07403,Longaví
074,07404,Parral
074,07405,Retiro
074,07406,San Javier
074,07407,Villa Alegre
074,07408,Yerbas Buenas
081,08101,Concepción
081,08102,Coronel
081,08103,Chiguayante
081,08104,Florida
081,08105,Hualqui
081,08106,Lota
081,08107,Penco
081,08108,San Pedro de la Paz
081,08109,Santa Juana
081,08110,Talcahuano
081,08111,Tomé
081,08112,Hualpén
082,08201,Lebu
082,08202,Arauco
082,08203,Cañete
082,08204,Contulmo
082,08205,Curanilahue
082,08206,Los Álamos
082,08207,Tirúa
083,08301,Los Ángeles
083,08302,Antuco
083,08303,Cabrero
083,08304,Laja
083,08305,Mulchén
083,08306,Nacimiento
083,08307,Negrete
083,08308,Quilaco
083,08309,Quilleco
083,08310,San Rosendo
083,08311,Santa Bárbara
083,08312,Tucapel
083,08313,Yumbel
083,08314,Alto Biobío
084,08401,Chillán
084,08402,Bulnes
084,08403,Cobquecura
084,08404,Coelemu
084,08405,Coihueco
084,08406,Chillán Viejo
084,08407,El Carmen
084,08408,Ninhue
084,08409,Ñiquén
084,08410,Pemuco
084,08411,Pinto
084,08412,Portezuelo
084,08413,Quillón
084,08414,Quirihue
084,08415,Ránquil
084,08416,San Carlos
084,08417,San Fabián
084,08418,San Ignacio
084,08419,San Nicolás
084,08420,Treguaco
084,08421,Yungay
091,09101,Temuco
091,09102,Carahue
091,09103,Cunco
091,09104,Curarrehue
091,09105,Freire
091,09106,Galvarino
091,09107,Gorbea
091,09108,Lautaro
091,09109,Loncoche
091,09110,Melipeuco
091,09111,Nueva Imperial
091,09112,Padre las Casas
091,09113,Perquenco
091,09114,Pitrufquén
091,09115,Pucón
091,09116,Saavedra
091,09117,Teodoro Schmidt
091,09118,Toltén
091,09119,Vilcún
091,09120,Villarrica
091,09121,Cholchol
092,09201,Angol
092,09202,Collipulli
092,09203,Curacautín
092,09204,Ercilla
092,09205,Lonquimay
092,09206,Los Sauces
092,09207,Lumaco
092,09208,Purén
092,09209,Renaico
092,09210,Traiguén
092,09211,Victoria
141,14101,Valdivia
141,14102,Corral
141,14103,Lanco
141,14104,Los Lagos
141,14105,Máfil
141,14106,Mariquina
141,14107,Paillaco
141,14108,Panguipulli
142,14201,La Unión
142,14202,Futrono
142,14203,Lago Ranco
142,14204,Río Bueno
101,10101,Puerto Montt
101,10102,Calbuco
101,10103,Cochamó
101,10104,Fresia
101,10105,Frutillar
101,10106,Los Muermos
101,10107,Llanquihue
101,10108,Maullín
101,10109,Puerto Varas
102,10201,Castro
102,10202,Ancud
102,10203,Chonchi
102,10204,Curaco de Vélez
102,10205,Dalcahue
102,10206,Puqueldón 
102,10207,Queilén
102,10208,Quellón
102,10209,Quemchi
102,10210,Quinchao
103,10301,Osorno
103,10302,Puerto Octay
103,10303,Purranque
103,10304,Puyehue
103,10305,Río Negro
103,10306,San Juan de la Costa
103,10307,San Pablo
104,10401,Chaitén
104,10402,Futaleufú
104,10403,Hualaihué
104,10404,Palena
111,11101,Coihaique
111,11102,Lago Verde
112,11201,Aisén	
112,11202,Cisnes
112,11203,Guaitecas
113,11301,Cochrane
113,11302,O’Higgins
113,11303,Tortel
114,11401,Chile Chico
114,11402,Río Ibáñez	
121,12101,Punta Arenas
121,12102,Laguna Blanca
121,12103,Río Verde
121,12104,San Gregorio
122,12201,Cabo de Hornos (Ex Navarino)
122,12202,Antártica
123,12301,Porvenir
123,12302,Primavera
123,12303,Timaukel
124,12401,Natales
124,12402,Torres del Paine
131,13101,Santiago
131,13102,Cerrillos
131,13103,Cerro Navia
131,13104,Conchalí
131,13105,El Bosque
131,13106,Estación Central
131,13107,Huechuraba
131,13108,Independencia
131,13109,La Cisterna
131,13110,La Florida
131,13111,La Granja
131,13112,La Pintana
131,13113,La Reina
131,13114,Las Condes
131,13115,Lo Barnechea
131,13116,Lo Espejo
131,13117,Lo Prado
131,13118,Macul
131,13119,Maipú
131,13120,Ñuñoa
131,13121,Pedro Aguirre Cerda
131,13122,Peñalolén
131,13123,Providencia
131,13124,Pudahuel
131,13125,Quilicura
131,13126,Quinta Normal
131,13127,Recoleta
131,13128,Renca
131,13129,San Joaquín
131,13130,San Miguel
131,13131,San Ramón
131,13132,Vitacura
132,13201,Puente Alto
132,13202,Pirque
132,13203,San José de Maipo
133,13301,Colina
133,13302,Lampa
133,13303,Tiltil
134,13401,San Bernardo
134,13402,Buin
134,13403,Calera de Tango
134,13404,Paine
135,13501,Melipilla
135,13502,Alhué
135,13503,Curacaví
135,13504,María Pinto
135,13505,San Pedro
136,13601,Talagante
136,13602,El Monte
136,13603,Isla de Maipo
136,13604,Padre Hurtado
136,13605,Peñaflor
